open3dcp_column,block,target_entity,mapping_class,notes
mix_id,Provenance,material: MaterialStock / MaterialSpecification — identity/lineage,normalized,
name,Provenance,material: MaterialStock / MaterialSpecification — identity/lineage,normalized,
parent_mix_id,Provenance,material: MaterialStock / MaterialSpecification — identity/lineage,normalized,
version,Provenance,material: MaterialStock / MaterialSpecification — identity/lineage,normalized,
material_class,Provenance,material: MaterialStock / MaterialSpecification — identity/lineage,normalized,
batch_label,Provenance,material: MaterialStock / MaterialSpecification — identity/lineage,normalized,
date_of_casting,Provenance,build: Build / PlannedProcessStep timing,normalized,
created_at,Provenance,base: Document (record metadata),partial,
is_premixed,Provenance,"material: MaterialStock — feedstock identity/lot (supplier, product, lot, dates)",normalized,material module is metals-shaped; feedstock-lot concepts carry the semantics
supplier,Provenance,"material: MaterialStock — feedstock identity/lot (supplier, product, lot, dates)",normalized,material module is metals-shaped; feedstock-lot concepts carry the semantics
product_name,Provenance,"material: MaterialStock — feedstock identity/lot (supplier, product, lot, dates)",normalized,material module is metals-shaped; feedstock-lot concepts carry the semantics
supplier_batch_number,Provenance,"material: MaterialStock — feedstock identity/lot (supplier, product, lot, dates)",normalized,material module is metals-shaped; feedstock-lot concepts carry the semantics
production_date,Provenance,"material: MaterialStock — feedstock identity/lot (supplier, product, lot, dates)",normalized,material module is metals-shaped; feedstock-lot concepts carry the semantics
bulk_density_kg_m3,Provenance,"material: MaterialStock — feedstock identity/lot (supplier, product, lot, dates)",normalized,material module is metals-shaped; feedstock-lot concepts carry the semantics
cement_type_1,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_type_1_2,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_type_1l,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_type_2,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_type_3,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_type_4,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_type_5,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_i,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
