open3dcp_column,block,target_entity,mapping_class,notes
mix_id,Provenance,PROV-O entity + cpto:Batch context,partial,
name,Provenance,PROV-O entity + cpto:Batch context,partial,
parent_mix_id,Provenance,PROV-O entity + cpto:Batch context,partial,
version,Provenance,PROV-O entity + cpto:Batch context,partial,
material_class,Provenance,"cpto concrete-type classes (designed/prescribed, SCC, precast, ...)",partial,
batch_label,Provenance,cpto:Batch,normalized,
date_of_casting,Provenance,cpto casting/placement context (CastingDevice),partial,
created_at,Provenance,PROV-O entity + cpto:Batch context,partial,
cement_type_1,Composition,cpto constituent class + QuantityInMix,partial,EN 197-1-oriented taxonomy; ASTM classes do not map 1:1
cement_type_1_2,Composition,cpto constituent class + QuantityInMix,partial,EN 197-1-oriented taxonomy; ASTM classes do not map 1:1
cement_type_1l,Composition,cpto:Cement (EN 197-1 CEM II/A-L),normalized,
cement_type_2,Composition,cpto constituent class + QuantityInMix,partial,EN 197-1-oriented taxonomy; ASTM classes do not map 1:1
cement_type_3,Composition,cpto constituent class + QuantityInMix,partial,EN 197-1-oriented taxonomy; ASTM classes do not map 1:1
cement_type_4,Composition,cpto constituent class + QuantityInMix,partial,EN 197-1-oriented taxonomy; ASTM classes do not map 1:1
cement_type_5,Composition,cpto constituent class + QuantityInMix,partial,EN 197-1-oriented taxonomy; ASTM classes do not map 1:1
cac,Composition,-,no_map,outside CPTO's EN 197-1 cement enumeration
csa_cement,Composition,-,no_map,outside CPTO's EN 197-1 cement enumeration
cement_unspecified,Composition,cpto:Cement + QuantityInMix,normalized,type stays unclassified
fly_ash,Composition,cpto:FlyAsh + QuantityInMix,normalized,
fly_ash_type_f,Composition,cpto:FlyAsh + QuantityInMix,partial,no ASTM C618 F/C split in CPTO
fly_ash_type_c,Composition,cpto:FlyAsh + QuantityInMix,partial,no ASTM C618 F/C split in CPTO
silica_fume,Composition,cpto:SilicaFume + QuantityInMix,normalized,
nano_silica,Composition,cpto:Addition (Type II),partial,
slag,Composition,cpto:GGBS/GGBFS (subclass of BlastFurnaceSlag) + QuantityInMix,normalized,
metakaolin,Composition,cpto:Addition (Type II),partial,
limestone,Composition,cpto:LimestonePowder + QuantityInMix,normalized,
pumice,Composition,cpto:Addition (Type II),partial,
bottom_ash,Composition,cpto:Addition (Type II),partial,
rice_husk_ash,Composition,cpto:Addition (Type II),partial,
sodium_hydroxide,Composition,-,no_map,alkali-activated systems are outside CPTO's EN 206 scope
sodium_silicate,Composition,-,no_map,alkali-activated systems are outside CPTO's EN 206 scope
potassium_hydroxide,Composition,-,no_map,alkali-activated systems are outside CPTO's EN 206 scope
potassium_silicate,Composition,-,no_map,alkali-activated systems are outside CPTO's EN 206 scope
activator_ms_ratio,Composition,-,no_map,alkali-activated systems are outside CPTO's EN 206 scope
na2o_dosage_pct,Composition,-,no_map,alkali-activated systems are outside CPTO's EN 206 scope
nano_clay,Composition,cpto:Addition / Additives,partial,
mineral_powder,Composition,cpto:Addition / Additives,partial,
mwcnt,Composition,cpto:Addition / Additives,partial,
graphene_oxide,Composition,cpto:Addition / Additives,partial,
recycled_sand,Composition,cpto:Aggregate (recycled),normalized,
iron_oxide_pigment,Composition,cpto:Pigments + QuantityInMix,normalized,
titanium_dioxide_pigment,Composition,cpto:Pigments + QuantityInMix,normalized,
chromium_oxide_pigment,Composition,cpto:Pigments + QuantityInMix,normalized,
carbon_black_pigment,Composition,cpto:Pigments + QuantityInMix,normalized,
pigment_other,Composition,cpto:Pigments + QuantityInMix,normalized,
mason_sand,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
fine_sand,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
concrete_sand,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
coarse_sand,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
fine_agg_unspecified,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_89,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_8,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_7,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_67,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_6,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_57,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_5,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_467,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_4,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_357,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_3,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_2,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
agg_size_1,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
coarse_agg_unspecified,Composition,cpto:Aggregate + AggregateSize + QuantityInMix,partial,no fineness-modulus concept; ASTM C33 size numbers convert to EN d/D sieve pairs held by AggregateSize
steel_fiber,Composition,cpto:SteelFibres + QuantityInMix,normalized,
pp_fiber,Composition,cpto:PolymerFibres + QuantityInMix,partial,
glass_fiber,Composition,cpto:Fibres (SteelFibres / PolymerFibres),partial,only steel/polymer fibre classes exist in v1.0.1
carbon_fiber,Composition,cpto:Fibres (SteelFibres / PolymerFibres),partial,only steel/polymer fibre classes exist in v1.0.1
pva_fiber,Composition,cpto:PolymerFibres + QuantityInMix,partial,
basalt_fiber,Composition,cpto:Fibres (SteelFibres / PolymerFibres),partial,only steel/polymer fibre classes exist in v1.0.1
nylon_fiber,Composition,cpto:PolymerFibres + QuantityInMix,partial,
aramid_fiber,Composition,cpto:Fibres (SteelFibres / PolymerFibres),partial,only steel/polymer fibre classes exist in v1.0.1
cellulose_fiber,Composition,cpto:Fibres (SteelFibres / PolymerFibres),partial,only steel/polymer fibre classes exist in v1.0.1
fiber_length_mm,Composition,-,no_map,no fibre-geometry classes found in CPTO v1.0.1
fiber_diameter_mm,Composition,-,no_map,no fibre-geometry classes found in CPTO v1.0.1
fiber_aspect_ratio,Composition,-,no_map,no fibre-geometry classes found in CPTO v1.0.1
fiber_tensile_strength_mpa,Composition,-,no_map,no fibre-geometry classes found in CPTO v1.0.1
superplasticizer,Composition,cpto:Admixture + QuantityInMix,partial,no per-function admixture subclasses verified
