open3dcp_column,block,target_entity,mapping_class,notes
mix_id,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
name,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
parent_mix_id,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
version,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
material_class,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
batch_label,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
date_of_casting,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
created_at,Provenance,object identifiers / tags on MaterialSpec–MaterialRun,normalized,
is_premixed,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
supplier,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
product_name,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
supplier_batch_number,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
production_date,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
bulk_density_kg_m3,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
premix_composition_disclosed,Provenance,"MaterialSpec identity + tags (supplier, product, lot) on the premix ingredient",normalized,
premix_water_addition_pct,Provenance,Parameter on the mixing ProcessSpec,normalized,no controlled 3DCP parameter templates exist; project-defined AttributeTemplates required
cement_type_1,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_1_2,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_1l,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_1s,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_1p,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_1t,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_2,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_3,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_4,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_type_5,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_c1157,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_i,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_a_s,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_b_s,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_a_v,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_b_v,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_a_l,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_b_l,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_a_ll,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_b_ll,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_a_m,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_b_m,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_ii_c_m,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_iii_a,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_iii_b,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_iii_c,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_iv_a,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_iv_b,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_v_a,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_v_b,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cem_vi,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cac,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
csa_cement,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
calcium_sulfate,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
natural_hydraulic_lime,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
hydrated_lime,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_unspecified,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_other,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
cement_designation,Composition,MaterialSpec name / tags,normalized,
cement_standard,Composition,tags,normalized,
cement_strength_class_mpa,Composition,Property (with bounds) on the cement MaterialSpec,normalized,
cement_early_strength_class,Composition,Property on the cement MaterialSpec,normalized,
fly_ash,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
fly_ash_type_f,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
fly_ash_type_c,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
silica_fume,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
nano_silica,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
slag,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
metakaolin,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
limestone,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
pumice,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
bottom_ash,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
rice_husk_ash,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
sodium_hydroxide,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
sodium_silicate,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
potassium_hydroxide,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
potassium_silicate,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
activator_ms_ratio,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
na2o_dosage_pct,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
nano_clay,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
mineral_powder,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
mwcnt,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
graphene_oxide,Composition,IngredientSpec/IngredientRun (mass_fraction) -> mixing ProcessSpec -> MaterialSpec/Run,normalized,
