column,sql_type,section,unit,quantity_kind,si_mm_unit,si_mm_factor,fe_relevant,notes
mix_id,varchar,Identity & Versioning,-,categorical,,,,
name,varchar,Identity & Versioning,-,categorical,,,,
parent_mix_id,varchar,Identity & Versioning,-,categorical,,,,
version,varchar,Identity & Versioning,-,categorical,,,,
material_class,varchar,Identity & Versioning,-,categorical,,,,
batch_label,varchar,Identity & Versioning,-,categorical,,,,
date_of_casting,date,Identity & Versioning,-,date,,,,
created_at,timestamptz,Identity & Versioning,-,timestamp,,,,
is_premixed,boolean,COMMERCIAL PRODUCT IDENTITY,-,flag,,,,
supplier,varchar,COMMERCIAL PRODUCT IDENTITY,-,categorical,,,,
product_name,varchar,COMMERCIAL PRODUCT IDENTITY,-,categorical,,,,
supplier_batch_number,varchar,COMMERCIAL PRODUCT IDENTITY,-,categorical,,,,
production_date,date,COMMERCIAL PRODUCT IDENTITY,-,date,,,,
bulk_density_kg_m3,real,COMMERCIAL PRODUCT IDENTITY,kg/m3,density,tonne/mm3,1e-12,,
premix_composition_disclosed,boolean,COMMERCIAL PRODUCT IDENTITY,-,flag,,,,
premix_water_addition_pct,real,COMMERCIAL PRODUCT IDENTITY,%,fraction,1 (fraction),1e-2,,
cement_type_1,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_1_2,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_1l,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_1s,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_1p,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_1t,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_2,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_3,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_4,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_type_5,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cement_c1157,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cem_i,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cem_ii_a_s,real,Binder Materials,s,time,s,1,,
cem_ii_b_s,real,Binder Materials,s,time,s,1,,
cem_ii_a_v,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cem_ii_b_v,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cem_ii_a_l,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
cem_ii_b_l,real,Binder Materials,mass-% of total wet mix,mass_fraction,1 (fraction),1e-2,,kg/m3 recoverable exactly via total_batched_mass_kg_m3
