mix_id,material_class,cement_kg_m3,fly_ash_kg_m3,slag_kg_m3,water_kg_m3,superplasticizer_kg_m3,fine_agg_kg_m3,coarse_agg_kg_m3,age_days,specimen_geometry,test_method,curing_temp_c,compressive_strength_mpa,compressive_strength_std_mpa,n_specimens,embodied_carbon_kg_co2_m3,slump_mm
Mix_1,blended_OPC,353.0,47.0,267.0,140.0,7.33,1833.0,0.0,1.0,cube,cube_compression,22.0,34.47,0.59,3,322.0,
Mix_1,blended_OPC,353.0,47.0,267.0,140.0,7.33,1833.0,0.0,3.0,cube,cube_compression,22.0,51.83,2.1,3,322.0,
Mix_1,blended_OPC,353.0,47.0,267.0,140.0,7.33,1833.0,0.0,5.0,cube,cube_compression,22.0,50.46,1.81,3,322.0,
Mix_1,blended_OPC,353.0,47.0,267.0,140.0,7.33,1833.0,0.0,28.0,cube,cube_compression,22.0,70.95,7.65,3,322.0,
Mix_103,blended_OPC,400.0,267.0,0.0,333.0,0.0,611.0,1176.0,1.0,cylinder,cylinder_compression,22.0,3.21,0.26,3,319.0,281.9
Mix_103,blended_OPC,400.0,267.0,0.0,333.0,0.0,611.0,1176.0,3.0,cylinder,cylinder_compression,22.0,10.8,5.25,3,319.0,281.9
Mix_103,blended_OPC,400.0,267.0,0.0,333.0,0.0,611.0,1176.0,5.0,cylinder,cylinder_compression,22.0,22.16,3.72,3,319.0,281.9
Mix_103,blended_OPC,400.0,267.0,0.0,333.0,0.0,611.0,1176.0,14.0,cylinder,cylinder_compression,22.0,31.6,3.22,3,319.0,281.9
Mix_103,blended_OPC,400.0,267.0,0.0,333.0,0.0,611.0,1176.0,28.0,cylinder,cylinder_compression,22.0,46.08,1.7,3,319.0,281.9
Mix_121,blended_OPC,225.0,0.0,223.0,157.0,2.04,818.0,1073.0,1.0,cylinder,cylinder_compression,22.0,15.02,0.99,3,204.0,248.9
Mix_121,blended_OPC,225.0,0.0,223.0,157.0,2.04,818.0,1073.0,3.0,cylinder,cylinder_compression,22.0,35.51,1.59,3,204.0,248.9
Mix_121,blended_OPC,225.0,0.0,223.0,157.0,2.04,818.0,1073.0,5.0,cylinder,cylinder_compression,22.0,40.66,1.57,3,204.0,248.9
Mix_121,blended_OPC,225.0,0.0,223.0,157.0,2.04,818.0,1073.0,14.0,cylinder,cylinder_compression,22.0,51.37,5.52,3,204.0,248.9
Mix_121,blended_OPC,225.0,0.0,223.0,157.0,2.04,818.0,1073.0,28.0,cylinder,cylinder_compression,22.0,61.13,3.27,3,204.0,248.9
Mix_14,blended_OPC,334.0,0.0,333.0,265.0,0.0,1833.0,0.0,1.0,cube,cube_compression,22.0,15.84,1.54,3,288.0,
Mix_14,blended_OPC,334.0,0.0,333.0,265.0,0.0,1833.0,0.0,3.0,cube,cube_compression,22.0,28.66,0.98,3,288.0,
Mix_14,blended_OPC,334.0,0.0,333.0,265.0,0.0,1833.0,0.0,5.0,cube,cube_compression,22.0,35.35,0.77,3,288.0,
Mix_14,blended_OPC,334.0,0.0,333.0,265.0,0.0,1833.0,0.0,28.0,cube,cube_compression,22.0,51.26,1.34,3,288.0,
Mix_84,OPC,667.0,0.0,0.0,267.0,2.138,611.0,1176.0,1.0,cylinder,cylinder_compression,22.0,33.76,2.37,3,521.27,254.0
Mix_84,OPC,667.0,0.0,0.0,267.0,2.138,611.0,1176.0,3.0,cylinder,cylinder_compression,22.0,46.96,2.41,3,521.27,254.0
Mix_84,OPC,667.0,0.0,0.0,267.0,2.138,611.0,1176.0,5.0,cylinder,cylinder_compression,22.0,51.3,1.9,3,521.27,254.0
Mix_84,OPC,667.0,0.0,0.0,267.0,2.138,611.0,1176.0,14.0,cylinder,cylinder_compression,22.0,57.66,2.57,3,521.27,254.0
Mix_84,OPC,667.0,0.0,0.0,267.0,2.138,611.0,1176.0,28.0,cylinder,cylinder_compression,22.0,65.44,1.9,3,521.27,254.0
Mix_88,blended_OPC,201.0,173.0,293.0,167.0,4.632,611.0,1176.0,1.0,cylinder,cylinder_compression,22.0,12.47,0.7,3,204.17,254.0
Mix_88,blended_OPC,201.0,173.0,293.0,167.0,4.632,611.0,1176.0,3.0,cylinder,cylinder_compression,22.0,41.65,0.59,3,204.17,254.0
Mix_88,blended_OPC,201.0,173.0,293.0,167.0,4.632,611.0,1176.0,5.0,cylinder,cylinder_compression,22.0,59.21,0.63,3,204.17,254.0
Mix_88,blended_OPC,201.0,173.0,293.0,167.0,4.632,611.0,1176.0,14.0,cylinder,cylinder_compression,22.0,93.29,1.59,3,204.17,254.0
Mix_88,blended_OPC,201.0,173.0,293.0,167.0,4.632,611.0,1176.0,28.0,cylinder,cylinder_compression,22.0,110.52,4.3,3,204.17,254.0
