record_index,sample_id,sample_code,NAME,TESTORIENTATION,3-OR4-POINTBENDING,PROCESSPARAMETERS,SOURCEPRINTOBJECTNUMBER,AGE,EXTRACTIONMETHOD,EXTRACTIONDATE,TESTDATE,LENGTH_VALUE,LENGTH_UNIT,WIDTH_D1_VALUE,WIDTH_D1_UNIT,HEIGHT_D2_VALUE,HEIGHT_D2_UNIT,SUPPORTSPANL_VALUE,SUPPORTSPANL_UNIT,LOADSPANONLYFOR4PBENDING_VALUE,LOADSPANONLYFOR4PBENDING_UNIT,APPLIEDLOADINGRATE_VALUE,APPLIEDLOADINGRATE_UNIT,F3PXNORF4PXN_VALUE,F3PXNORF4PXN_UNIT,DENSITY_VALUE,DENSITY_UNIT
1,17241,EXP_FLEX17248,EXP_FLEX_01_a_spec_101,V.U,3,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,159.35,mm,40.5,mm,39.75,mm,120.0,mm,,mm,50.0,N/s,6.348091786101992,N/mm²,2162.2900101309833,kg/m³
2,17244,EXP_FLEX17251,EXP_FLEX_01_a_spec_104,U.W,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,162.175,mm,40.55,mm,39.9,mm,120.0,mm,,mm,50.0,N/s,1.845117229256076,N/mm²,2135.7502495389926,kg/m³
3,17245,EXP_FLEX17252,EXP_FLEX_01_a_spec_105,U.W,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,161.9,mm,40.45,mm,40.7,mm,120.0,mm,,mm,50.0,N/s,2.1346491790118916,N/mm²,2126.898049925816,kg/m³
4,17246,EXP_FLEX17253,EXP_FLEX_01_a_spec_106,U.W,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,161.55,mm,40.150000000000006,mm,40.9,mm,120.0,mm,,mm,50.0,N/s,2.145731878373525,N/mm²,2137.6855782415505,kg/m³
5,17249,EXP_FLEX17256,EXP_FLEX_01_a_spec_109,U.W,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,161.39999999999998,mm,39.8,mm,40.55,mm,120.0,mm,,mm,50.0,N/s,2.211458709955824,N/mm²,2141.4160278947047,kg/m³
6,17250,EXP_FLEX17257,EXP_FLEX_01_a_spec_110,U.W,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.35000000000002,mm,40.15,mm,40.55,mm,120.0,mm,,mm,50.0,N/s,1.3377261488135332,N/mm²,2143.926707707015,kg/m³
7,17251,EXP_FLEX17258,EXP_FLEX_01_a_spec_111,V.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.55,mm,40.4,mm,40.7,mm,120.0,mm,,mm,50.0,N/s,4.84504991438117,N/mm²,2093.6466200425793,kg/m³
8,17254,EXP_FLEX17261,EXP_FLEX_01_a_spec_114,V.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.5,mm,41.0,mm,39.85,mm,120.0,mm,,mm,50.0,N/s,3.9822154943510237,N/mm²,2104.6174884408583,kg/m³
9,17255,EXP_FLEX17262,EXP_FLEX_01_a_spec_115,V.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.1,mm,40.3,mm,40.65,mm,120.0,mm,,mm,50.0,N/s,4.123332167551117,N/mm²,2099.704352514594,kg/m³
10,17256,EXP_FLEX17263,EXP_FLEX_01_a_spec_116,V.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.8,mm,40.8,mm,40.25,mm,120.0,mm,,mm,50.0,N/s,4.899538643434691,N/mm²,2105.914829699996,kg/m³
11,17259,EXP_FLEX17266,EXP_FLEX_01_a_spec_119,W.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.45,mm,40.55,mm,40.349999999999994,mm,120.0,mm,,mm,50.0,N/s,6.0829573655488955,N/mm²,2122.4476573570405,kg/m³
12,17260,EXP_FLEX17267,EXP_FLEX_01_a_spec_120,W.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,161.05,mm,40.900000000000006,mm,39.95,mm,120.0,mm,,mm,50.0,N/s,5.873231052296462,N/mm²,2112.8758090332335,kg/m³
13,17261,EXP_FLEX17268,EXP_FLEX_01_a_spec_121,W.U,3,DEV1,mortar,29.0,sawing,2023-02-13 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.55,mm,40.95,mm,38.2,mm,120.0,mm,,mm,50.0,N/s,5.193620282844809,N/mm²,2093.994766434563,kg/m³
14,17265,EXP_FLEX17272,EXP_FLEX_01_a_spec_125,CAST,4,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,162.5,mm,40.099999999999994,mm,41.15,mm,120.0,mm,40.0,mm,75.0,N/s,5.92756035645647,N/mm²,2115.6567409404333,kg/m³
15,17266,EXP_FLEX17273,EXP_FLEX_01_a_spec_126,CAST,4,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,161.25,mm,40.150000000000006,mm,40.275000000000006,mm,120.0,mm,40.0,mm,75.0,N/s,5.389452312308428,N/mm²,2169.52848559897,kg/m³
16,17267,EXP_FLEX17274,EXP_FLEX_01_a_spec_127,CAST,4,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,162.0,mm,41.099999999999994,mm,40.349999999999994,mm,120.0,mm,40.0,mm,75.0,N/s,5.877455126568532,N/mm²,2131.703546031342,kg/m³
17,17272,EXP_FLEX17279,EXP_FLEX_01_a_spec_132,W.U,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.0,mm,39.599999999999994,mm,39.75,mm,120.0,mm,40.0,mm,75.0,N/s,7.110237727937978,N/mm²,2154.008639857697,kg/m³
18,17273,EXP_FLEX17280,EXP_FLEX_01_a_spec_133,W.U,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.0,mm,40.5,mm,40.05,mm,120.0,mm,40.0,mm,75.0,N/s,7.093243585620624,N/mm²,2141.613107072949,kg/m³
19,17274,EXP_FLEX17281,EXP_FLEX_01_a_spec_134,W.U,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.0,mm,40.4,mm,40.099999999999994,mm,120.0,mm,40.0,mm,75.0,N/s,6.541529992701763,N/mm²,2131.50601219723,kg/m³
20,17277,EXP_FLEX17284,EXP_FLEX_01_a_spec_137,W.U,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.0,mm,40.3,mm,40.5,mm,120.0,mm,40.0,mm,75.0,N/s,6.113597492968261,N/mm²,2098.076157215942,kg/m³
21,17278,EXP_FLEX17285,EXP_FLEX_01_a_spec_138,U.W,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.5,mm,40.15,mm,39.95,mm,120.0,mm,40.0,mm,75.0,N/s,4.461036280356609,N/mm²,2141.4632336074433,kg/m³
22,17279,EXP_FLEX17286,EXP_FLEX_01_a_spec_139,U.W,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.0,mm,40.349999999999994,mm,41.5,mm,120.0,mm,40.0,mm,75.0,N/s,4.630251621436254,N/mm²,2127.095743569072,kg/m³
23,17282,EXP_FLEX17289,EXP_FLEX_01_a_spec_142,U.W,4,DEFAULT,mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,160.5,mm,40.3,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,5.569931389578163,N/mm²,2144.3534859271967,kg/m³
24,17285,EXP_FLEX17292,EXP_FLEX_01_a_spec_145,CAST,4,DEFAULT,cast concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.0,mm,100.0,mm,99.75,mm,300.0,mm,100.0,mm,,N/s,8.440650498426518,N/mm²,2224.106632496027,kg/m³
25,17286,EXP_FLEX17293,EXP_FLEX_01_a_spec_146,CAST,4,DEFAULT,cast concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.25,mm,101.0,mm,99.5,mm,300.0,mm,100.0,mm,,N/s,7.004923618040449,N/mm²,2178.8203496013457,kg/m³
26,17287,EXP_FLEX17294,EXP_FLEX_01_a_spec_147,CAST,4,DEFAULT,cast concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,398.5,mm,101.25,mm,100.5,mm,300.0,mm,100.0,mm,,N/s,7.5656359807742195,N/mm²,2173.6200266384976,kg/m³
27,17291,EXP_FLEX17298,EXP_FLEX_01_a_spec_151,U.W,4,DEFAULT,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.0,mm,100.0,mm,99.5,mm,300.0,mm,100.0,mm,,N/s,4.899573243099922,N/mm²,2182.088386796136,kg/m³
28,17292,EXP_FLEX17299,EXP_FLEX_01_a_spec_152,U.W,4,DEFAULT,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.5,mm,99.5,mm,99.0,mm,300.0,mm,100.0,mm,,N/s,5.925864400053528,N/mm²,2195.272388541613,kg/m³
29,17293,EXP_FLEX17300,EXP_FLEX_01_a_spec_153,U.W,4,DEFAULT,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,402.0,mm,98.5,mm,98.0,mm,300.0,mm,100.0,mm,,N/s,6.391055334389013,N/mm²,2248.675817019739,kg/m³
30,17298,EXP_FLEX17305,EXP_FLEX_01_a_spec_158,U.W,4,DEV1,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,398.0,mm,99.0,mm,99.5,mm,300.0,mm,100.0,mm,,N/s,3.7452375322631126,N/mm²,2175.2333057603128,kg/m³
31,17299,EXP_FLEX17306,EXP_FLEX_01_a_spec_159,U.W,4,DEV1,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.25,mm,100.5,mm,100.0,mm,301.0,mm,101.0,mm,,N/s,3.77044776119403,N/mm²,2203.3850783652183,kg/m³
32,17300,EXP_FLEX17307,EXP_FLEX_01_a_spec_160,U.W,4,DEV1,concrete,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,399.0,mm,100.5,mm,100.25,mm,302.0,mm,102.0,mm,,N/s,2.8442683442879755,N/mm²,2169.665301701668,kg/m³
33,17220,EXP_FLEX17227,EXP_FLEX_01_a_spec_80,CAST,3,DEFAULT,cast mortar,28.0,sawing,2023-02-13 00:00:00 +0000,2023-02-16 00:00:00 +0000,161.39999999999998,mm,40.599999999999994,mm,40.7,mm,120.0,mm,,mm,50.0,N/s,6.677836663772443,N/mm²,2157.8505106257967,kg/m³
