lab_name,is_3d_printed,specimen_prep,specimen_length_mm,specimen_width_mm,specimen_height_mm,test_orientation,test_orientation_code,test_method_code,test_age_days,flexural_strength_mpa,n_specimens,density_hardened_kg_m3,measurement_confidence,doi,source_citation,provenance_notes,original_basis
RILEM TC 304-ADC participating lab 01,True,3d_printed,159.35,40.5,39.75,,,,28.0,6.348091786101992,1,2162.2900101309833,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17241 (EXP_FLEX_01_a_spec_101); mix prefix 01_a; full orientation V.U; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,162.175,40.55,39.9,,,,29.0,1.845117229256076,1,2135.7502495389926,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17244 (EXP_FLEX_01_a_spec_104); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,161.9,40.45,40.7,,,,29.0,2.1346491790118916,1,2126.898049925816,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17245 (EXP_FLEX_01_a_spec_105); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,161.55,40.150000000000006,40.9,,,,29.0,2.145731878373525,1,2137.6855782415505,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17246 (EXP_FLEX_01_a_spec_106); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,161.39999999999998,39.8,40.55,,,,29.0,2.211458709955824,1,2141.4160278947047,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17249 (EXP_FLEX_01_a_spec_109); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.35000000000002,40.15,40.55,,,,29.0,1.3377261488135332,1,2143.926707707015,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17250 (EXP_FLEX_01_a_spec_110); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.55,40.4,40.7,,,,29.0,4.84504991438117,1,2093.6466200425793,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17251 (EXP_FLEX_01_a_spec_111); mix prefix 01_a; full orientation V.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.5,41.0,39.85,,,,29.0,3.9822154943510237,1,2104.6174884408583,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17254 (EXP_FLEX_01_a_spec_114); mix prefix 01_a; full orientation V.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.1,40.3,40.65,,,,29.0,4.123332167551117,1,2099.704352514594,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17255 (EXP_FLEX_01_a_spec_115); mix prefix 01_a; full orientation V.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.8,40.8,40.25,,,,29.0,4.899538643434691,1,2105.914829699996,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17256 (EXP_FLEX_01_a_spec_116); mix prefix 01_a; full orientation V.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
