Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Concrete compressive strength(MPa megapascals)
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
