source_dataset,is_3d_printed,material_class,w_b_ratio,static_yield_stress_pa,dynamic_yield_stress_pa,plastic_viscosity_pa_s,test_age_days,compressive_strength_mpa,doi,source_citation,provenance_notes
UF 3DCP Mix-Design Open Dataset,True,OPC,0.3,2411.0,260.0,19.0,28,42.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 0.5. Primary study: https://www.sciencedirect.com/science/article/pii/S0950061817325175?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.3,3350.0,500.0,16.65,28,49.7,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 0.5. Primary study: https://www.sciencedirect.com/science/article/pii/S0950061817325175?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.45,3000.0,,,28,28.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 0.33. Primary study: https://www.sciencedirect.com/science/article/pii/S1359836818319024."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.45,4600.0,,,28,32.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 0.33. Primary study: https://www.sciencedirect.com/science/article/pii/S1359836818319024."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.4,2140.0,,,28,72.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement. Primary study: https://www.sciencedirect.com/science/article/pii/S0957582020315627?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.4,2900.0,,,28,72.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement. Primary study: https://www.sciencedirect.com/science/article/pii/S0957582020315627?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.4,1200.0,,,28,60.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 0.55. Primary study: https://www.sciencedirect.com/science/article/pii/S0264127521001271?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.4,1360.0,,,28,70.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 0.55. Primary study: https://www.sciencedirect.com/science/article/pii/S0264127521001271?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.35,786.0,,36.9,28,58.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 1.7. Primary study: https://www.sciencedirect.com/science/article/pii/S0958946521003784?via%3Dihub."
UF 3DCP Mix-Design Open Dataset,True,OPC,0.35,398.0,,34.0,28,54.0,10.5281/zenodo.6828947,"Gao, J.; Wang, Z.; Wang, C. (2023). 3D Printing Concrete Mix Design Open Dataset (v0.3). Zenodo. DOI 10.5281/zenodo.6828947.","Source basis = ratio-to-binder (binder=1); kg/m3 not recoverable, so constituent mass-% is not formed. Binder: Portland cement; sand/binder ratio 1.7. Primary study: https://www.sciencedirect.com/science/article/pii/S0958946521003784?via%3Dihub."
