source_row,primary_reference,binder_description,binder1_label,age_rows,composition_status,material_class_status,specimen_printing_status
46,https://www.sciencedirect.com/science/article/pii/S0950061817325175?via%3Dihub,"Portland cement:fly ash:silica
fume=0.47:0.47:0.06",Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
47,https://www.sciencedirect.com/science/article/pii/S0950061817325175?via%3Dihub,"Portland cement:fly ash:silica
fume=0.47:0.47:0.06",Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
57,https://www.sciencedirect.com/science/article/pii/S1359836818319024,Portland cement:fly ash=0.7:0.3,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
58,https://www.sciencedirect.com/science/article/pii/S1359836818319024,Portland cement:fly ash=0.7:0.3,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
90,https://www.sciencedirect.com/science/article/pii/S0957582020315627?via%3Dihub,Portland cement:Waste Incinerated Fly Ash=0.95:0.05,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
91,https://www.sciencedirect.com/science/article/pii/S0957582020315627?via%3Dihub,Portland cement:Waste Incinerated Fly Ash:0.925:0.075,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
139,https://www.sciencedirect.com/science/article/pii/S0264127521001271?via%3Dihub,fly ash:blast furnace slag:silica fume=0.60:0.25:0.15,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
140,https://www.sciencedirect.com/science/article/pii/S0264127521001271?via%3Dihub,fly ash:blast furnace slag:silica fume=0.60:0.25:0.15,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
179,https://www.sciencedirect.com/science/article/pii/S0958946521003784?via%3Dihub,Cement:blast furnace slag=0.5:0.5,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
180,https://www.sciencedirect.com/science/article/pii/S0958946521003784?via%3Dihub,Cement:blast furnace slag=0.5:0.5,Portland cement,1,unconverted: complete inventory/common basis not established,unclassified; raw source labels retained,not established for each mechanical result
