source_row,column_index_zero_based,source_header,source_value,missing
46,3,Concrete Mix Type,,True
46,4,Reference,https://www.sciencedirect.com/science/article/pii/S0950061817325175?via%3Dihub,False
46,5,Binder,"Portland cement:fly ash:silica
fume=0.47:0.47:0.06",False
46,6,Binder1,Portland cement,False
46,7,Binder1 to binder ratio,0.47,False
46,8,Binder2,,True
46,9,to binder ratio,,True
46,10,Calcium sulfoaluminate cement,,True
46,11,to binder ratio,,True
46,12,sulphoaluminate cement,,True
46,13,to binder ratio,,True
46,14,fly ash,fly ash,False
46,15,to binder ratio,0.47,False
46,16,bottom ash,,True
46,17,to binder ratio,,True
46,18,silica fume,silica fume,False
46,19,to binder ratio,0.06,False
46,20,micro-silica,,True
46,21,to binder ratio,,True
46,22,nano clay,,True
46,23,to binder ratio,,True
46,24,Attapulgite,,True
46,25,to binder ratio,,True
46,26,Ladle furnace steel slag,,True
46,27,to binder ratio,,True
46,28,MgO(Magnesium Oxide)-activated slag,,True
46,29,to binder ratio,,True
46,30,blast furnace slag,,True
46,31,to binder ratio,,True
46,32,limestone powder,,True
46,33,to binder ratio,,True
46,34,Low grade calcined clay,,True
46,35,to binder ratio,,True
46,36,High grade calcined clay,,True
46,37,to binder ratio,,True
46,38,Metakaolin,,True
46,39,to binder ratio,,True
46,40,"Water-Binder 
Ratio",0.3,False
46,41,"Sand-Binder
Ratio",0.5,False
46,42,Sand Size(mm),0.6–1.2,False
46,43,Sand Size(mm),0.9,False
46,44,Admixture     (% Wob),,True
46,45,HRWRA,,True
46,46,to binder ratio,,True
46,47,VMA,,True
46,48,to binder ratio,,True
46,49,Superplasticiser,,True
46,50,to binder ratio,,True
46,51,HPMC,,True
46,52,to binder ratio,,True
46,53,nano clay,,True
46,54,to binder ratio,,True
46,55,Sodium gluconate,,True
46,56,to binder ratio,,True
46,57,sodium lignosulfonate,,True
46,58,to binder ratio,,True
46,59,thicker agent,,True
46,60,to binder ratio,,True
46,61,retarder agent,,True
46,62,to binder ratio,,True
46,63,accelerating agent,,True
46,64,to binder ratio,,True
46,65,Air-entraining agent,,True
46,66,to binder ratio,,True
46,67,microcrystalline cellulose,,True
46,68,to binder ratio,,True
46,69,Alkaline reagent,,True
46,70,to binder ratio,,True
46,71,Activator,,True
46,72,to binder ratio,,True
46,73,rheology modifier,,True
46,74,to binder ratio,,True
46,75,early strength agent,,True
46,76,to binder ratio,,True
46,77,hydration inhibitor,,True
46,78,to binder ratio,,True
46,79,"PP Fibers,
Otherwise, as
Stated (% Wob)",,True
46,80,polypropylene fibers,,True
46,81,to binder ratio,,True
