mix_id,material_class,cement_kg_m3,silica_fume_kg_m3,fly_ash_kg_m3,slag_kg_m3,metakaolin_kg_m3,nano_silica_kg_m3,mineral_powder_kg_m3,water_kg_m3,superplasticizer_kg_m3,fine_agg_kg_m3,fiber_type,fiber_kg_m3,fiber_length_mm,fiber_diameter_mm,age_days,compressive_strength_mpa,flexural_strength_mpa,splitting_tensile_mpa,elastic_modulus_gpa
F0,UHPC,935.0,251.0,0.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,3,122.0,,,
F0,UHPC,935.0,251.0,0.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,7,160.0,,,
F0,UHPC,935.0,251.0,0.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,14,182.0,,,
F0,UHPC,935.0,251.0,0.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,28,198.9,,11.7,53.145
F40,UHPC,561.0,251.0,374.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,3,81.0,,,
F40,UHPC,561.0,251.0,374.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,7,106.0,,,
F40,UHPC,561.0,251.0,374.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,14,138.0,,,
F40,UHPC,561.0,251.0,374.0,,0.0,0.0,205.0,194.0,14.7,824.0,,,,,28,152.6,,8.6,44.001
S10-F10,UHPC,839.0,104.0,104.0,,0.0,0.0,0.0,147.0,56.5,919.0,steel,119.0,13.0,0.2,7,115.0,,,
S10-F10,UHPC,839.0,104.0,104.0,,0.0,0.0,0.0,147.0,56.5,919.0,steel,119.0,13.0,0.2,28,135.0,18.65,,
S10-M10,UHPC,839.0,104.0,0.0,,104.0,0.0,0.0,147.0,67.8,922.0,steel,119.0,13.0,0.2,7,107.0,,,
S10-M10,UHPC,839.0,104.0,0.0,,104.0,0.0,0.0,147.0,67.8,922.0,steel,119.0,13.0,0.2,28,130.5,18.85,,
B-S0,UHPC,940.0,282.0,0.0,,0.0,0.0,0.0,125.0,55.0,1180.0,steel,234.0,6.0,0.15,7,183.0,,,
B-S0,UHPC,940.0,282.0,0.0,,0.0,0.0,0.0,125.0,55.0,1180.0,steel,234.0,6.0,0.15,28,200.0,,,
B-S0,UHPC,940.0,282.0,0.0,,0.0,0.0,0.0,125.0,55.0,1180.0,steel,234.0,6.0,0.15,90,219.0,,,
B-S40,UHPC,564.0,282.0,0.0,376.0,0.0,0.0,0.0,125.0,55.0,1137.0,steel,234.0,6.0,0.15,7,162.0,,,
B-S40,UHPC,564.0,282.0,0.0,376.0,0.0,0.0,0.0,125.0,55.0,1137.0,steel,234.0,6.0,0.15,28,200.0,,,
B-S40,UHPC,564.0,282.0,0.0,376.0,0.0,0.0,0.0,125.0,55.0,1137.0,steel,234.0,6.0,0.15,90,225.0,,,
G10F10,UHPC,664.0,205.0,83.0,83.0,0.0,0.0,0.0,151.0,35.0,1041.0,steel,234.0,6.0,0.15,28,281.0,,,
